method,epoch,train_loss,train_acc,test_loss,test_acc,seconds
SGD,1,0.4720836559812228,0.8559333333333333,0.15698630599975585,0.9524,32.12862470000982
SGD,2,0.12261832864681879,0.96225,0.11708947257995606,0.9628,31.98566910001682
SGD,3,0.08222216703097025,0.9747666666666667,0.08842043399810791,0.9716,33.87470290000783
SGD,4,0.06064448230862617,0.9809,0.08596867961883545,0.9741,36.567141000006814
SGD,5,0.04828578901290893,0.9848166666666667,0.08680715579986573,0.9741,33.509832999960054
SGD,6,0.04038537989258766,0.98685,0.09741774463653564,0.9713,33.07449089997681
SGD,7,0.03159275098840396,0.9901,0.07719382934570312,0.9785,32.734385600022506
SGD,8,0.02438399805923303,0.9926166666666667,0.08219366188049317,0.9774,35.00203650002368
SGD,9,0.02260732837319374,0.9925833333333334,0.08749573364257812,0.9764,32.633538100053556
SGD,10,0.018799765893816947,0.9939666666666667,0.07513229503631592,0.9795,32.617621700046584
NG,1,0.6344508805990219,0.87745,0.24152248611450194,0.9303,35.17298939998727
NG,2,0.21344489377339682,0.93685,0.17784866485595704,0.9464,35.766008400009014
NG,3,0.16318675686518352,0.9507666666666666,0.1466114532470703,0.9542,36.39228129998082
NG,4,0.13443173797925315,0.9583833333333334,0.12761095314025878,0.9593,36.03664270002628
NG,5,0.11550627012252808,0.96275,0.11665943565368653,0.9638,36.749687500006985
NG,6,0.1017698684155941,0.9666333333333333,0.10433126831054687,0.967,35.80919130000984
NG,7,0.09163544062376022,0.9692833333333334,0.09815773239135742,0.969,37.56037780002225
NG,8,0.08315752214193343,0.972,0.09448491096496582,0.9693,36.9023496999871
NG,9,0.07623305623928706,0.9737333333333333,0.09065311737060547,0.9708,36.284290199982934
NG,10,0.07121024602254232,0.9747666666666667,0.08679835586547852,0.9718,34.27178670000285
